date,department_name,department_ID,department_hierarchy_id,department_type,department_url,category_name,category_ID,category_hierarchy_ID,category_type,category_url,category_legislative_ID,category_legislative_name,aisle_name,aisle_ID,aisle_hierarchy_ID,aisle_type,aisle_url,aisle_child,shelve_name,shelve_ID,shelve_hierarchy_ID,shelve_type,shelve_url
2024-06-20,Summer,10,1215684741317,,,Afternoon Tea,1012,1215684741317-1215684901507,dept,,,,"Cakes, Scones & Tarts",101211.0,1215684741317-1215684901507-1215684901508,aisle,,[],,10121199,,,
2024-06-20,Summer,10,1215684741317,,,Afternoon Tea,1012,1215684741317-1215684901507,dept,,,,Sandwich Fillings & Savoury Bites,101212.0,1215684741317-1215684901507-1215686355383,aisle,,[],,10121299,,,
2024-06-20,Summer,10,1215684741317,,,Afternoon Tea,1012,1215684741317-1215684901507,dept,,,,Fruit Salad Inspiration,101213.0,1215684741317-1215684901507-1215686355385,aisle,,[],,10121399,,,
2024-06-20,Summer,10,1215684741317,,,Afternoon Tea,1012,1215684741317-1215684901507,dept,,,,Drinks & Ice,101214.0,1215684741317-1215684901507-1215684901511,aisle,,[],,10121499,,,
2024-06-20,Summer,10,1215684741317,,,Summer Drinks,1013,1215684741317-1215684741348,dept,,1,Prepared soft drinks containing added sugar ingredients,View All Summer Drinks,101310.0,1215684741317-1215684741348-1215684751117,aisle,,[],,10131099,,,
2024-06-20,Summer,10,1215684741317,,,Summer Drinks,1013,1215684741317-1215684741348,dept,,1,Prepared soft drinks containing added sugar ingredients,Wine & Sparkling,101311.0,1215684741317-1215684741348-1215684741349,aisle,,[],,10131199,,,
2024-06-20,Summer,10,1215684741317,,,Summer Drinks,1013,1215684741317-1215684741348,dept,,1,Prepared soft drinks containing added sugar ingredients,"Beer, Craft Ale & Cider",101312.0,1215684741317-1215684741348-1215684741351,aisle,,[],,10131299,,,
2024-06-20,Summer,10,1215684741317,,,Summer Drinks,1013,1215684741317-1215684741348,dept,,1,Prepared soft drinks containing added sugar ingredients,Spirits,,1215684741317-1215684741348-1215684741353,aisle,,,Vodka & Gin,10131310,1215684741317-1215684741348-1215684741353-1215684741354,shelf,
2024-06-20,Summer,10,1215684741317,,,Summer Drinks,1013,1215684741317-1215684741348,dept,,1,Prepared soft drinks containing added sugar ingredients,Spirits,,1215684741317-1215684741348-1215684741353,aisle,,,Pre Mixed Drinks & Cocktails,10131311,1215684741317-1215684741348-1215684741353-1215686355903,shelf,
2024-06-20,Summer,10,1215684741317,,,Summer Drinks,1013,1215684741317-1215684741348,dept,,1,Prepared soft drinks containing added sugar ingredients,Soft Drinks & Mixers,101314.0,1215684741317-1215684741348-1215684741355,aisle,,[],,10131499,,,
2024-06-20,Summer,10,1215684741317,,,Holiday Shop,1014,1215684741317-1215684741357,dept,,,,Sun Protection & After Sun,101410.0,1215684741317-1215684741357-1215684741358,aisle,,[],,10141099,,,
2024-06-20,Summer,10,1215684741317,,,Holiday Shop,1014,1215684741317-1215684741357,dept,,,,3 for 2 Travel Size Toiletries,101411.0,1215684741317-1215684741357-1215684741360,aisle,,[],,10141199,,,
2024-06-20,Summer,10,1215684741317,,,Holiday Shop,1014,1215684741317-1215684741357,dept,,,,Travel Accessories,101412.0,1215684741317-1215684741357-1215684741362,aisle,,[],,10141299,,,
2024-06-20,Summer,10,1215684741317,,,Holiday Shop,1014,1215684741317-1215684741357,dept,,,,Beach Towels,101413.0,1215684741317-1215684741357-1215686355924,aisle,,[],,10141399,,,
2024-06-20,Summer,10,1215684741317,,,Holiday Shop,1014,1215684741317-1215684741357,dept,,,,Healthcare,101414.0,1215684741317-1215684741357-1215684791114,aisle,,[],,10141499,,,
2024-06-20,Summer,10,1215684741317,,,Holiday Shop,1014,1215684741317-1215684741357,dept,,,,Baby & Kids Essentials,101415.0,1215684741317-1215684741357-1215685431350,aisle,,[],,10141599,,,
2024-06-20,Summer,10,1215684741317,,,Holiday Shop,1014,1215684741317-1215684741357,dept,,,,Summer Beauty,101416.0,1215684741317-1215684741357-1215684841156,aisle,,[],,10141699,,,
2024-06-20,Summer,10,1215684741317,,,Holiday Shop,1014,1215684741317-1215684741357,dept,,,,Staycation Food Essentials,101417.0,1215684741317-1215684741357-1215686351447,aisle,,[],,10141799,,,
2024-06-20,Summer,10,1215684741317,,,Holiday Shop,1014,1215684741317-1215684741357,dept,,,,Books,,1215684741317-1215684741357-1215188268219,aisle,,,Hardback Books,10141810,1215684741317-1215684741357-1215188268219-1215484414139,shelf,
